"org","desc","variable","value","treatment","replicate","times"
"MC","Metabolism of cofactors and vitamins","X13",1.53120315368082,"Starved","b",0
"MC","Transcription","X13",2.74351264137782,"Starved","b",0
"MC","Translation","X13",17.2974017798687,"Starved","b",0
"MC","Folding, sorting and degradation","X13",10.4634394705385,"Starved","b",0
"MC","Replication and repair","X13",1.25567827011332,"Starved","b",0
"MC","Chromosome","X13",0.729754986070949,"Starved","b",0
"MC","Membrane transport","X13",1.01181748122682,"Starved","b",0
"MC","Signal transduction","X13",13.9474508355855,"Starved","b",0
"MC","Signaling molecules and interaction","X13",0.624081977553465,"Starved","b",0
"MC","Transport and catabolism","X13",11.4583694346021,"Starved","b",0
"MC","Cell motility","X13",6.29297888871315,"Starved","b",0
"MC","Cell growth and death","X13",8.46100842422451,"Starved","b",0
"MC","Carbohydrate metabolism","X14",3.23108112981429,"Starved","c",0
"MC","Energy metabolism","X14",5.01471509783149,"Starved","c",0
"MC","Lipid metabolism","X14",1.3670119440288,"Starved","c",0
"MC","Nucleotide metabolism","X14",1.2152669074671,"Starved","c",0
"MC","Amino acid metabolism","X14",1.71150882148033,"Starved","c",0
"MC","Metabolism of other amino acids","X14",1.69556811880371,"Starved","c",0
"MC","Glycan biosynthesis and metabolism","X14",0.35764665054478,"Starved","c",0
"MC","Metabolism of cofactors and vitamins","X14",1.58546751467721,"Starved","c",0
"MC","Transcription","X14",2.37316819113791,"Starved","c",0
"MC","Translation","X14",16.5670311774012,"Starved","c",0
"MC","Folding, sorting and degradation","X14",9.88783494421538,"Starved","c",0
"MC","Replication and repair","X14",1.32485531852398,"Starved","c",0
"MC","Chromosome","X14",0.707558140446476,"Starved","c",0
"MC","Membrane transport","X14",1.07981797285481,"Starved","c",0
"MC","Signal transduction","X14",13.6104437212185,"Starved","c",0
"MC","Signaling molecules and interaction","X14",0.71095533937756,"Starved","c",0
"MC","Transport and catabolism","X14",11.1787600851077,"Starved","c",0
"MC","Cell motility","X14",6.27219089540234,"Starved","c",0
"MC","Cell growth and death","X14",8.24255582251151,"Starved","c",0
"KN","Carbohydrate metabolism","X1",8.95530323617331,"1d","a",1
"KN","Energy metabolism","X1",7.12749743020192,"1d","a",1
"KN","Lipid metabolism","X1",2.80551059229415,"1d","a",1
"KN","Nucleotide metabolism","X1",0.856599359618134,"1d","a",1
"KN","Amino acid metabolism","X1",4.27590769994211,"1d","a",1
"KN","Metabolism of other amino acids","X1",1.17324574358732,"1d","a",1
"KN","Glycan biosynthesis and metabolism","X1",0.765031841865851,"1d","a",1
"KN","Metabolism of cofactors and vitamins","X1",2.06824438484351,"1d","a",1
"KN","Transcription","X1",3.93622174699009,"1d","a",1
"KN","Translation","X1",14.0364143341565,"1d","a",1
"KN","Folding, sorting and degradation","X1",15.7555206351832,"1d","a",1
"KN","Replication and repair","X1",2.76652055247705,"1d","a",1
"KN","Chromosome","X1",0.559447995557498,"1d","a",1
"KN","Membrane transport","X1",1.3038033011567,"1d","a",1
"KN","Signal transduction","X1",11.0956201188605,"1d","a",1
"KN","Signaling molecules and interaction","X1",0.165412290133157,"1d","a",1
"KN","Transport and catabolism","X1",7.78442052530217,"1d","a",1
"KN","Cell motility","X1",4.6203197183265,"1d","a",1
"KN","Cell growth and death","X1",8.88204922197148,"1d","a",1
"KN","Carbohydrate metabolism","X2",10.8299440441086,"1d","b",1
"KN","Energy metabolism","X2",9.79097622713395,"1d","b",1
"KN","Lipid metabolism","X2",2.75007735408038,"1d","b",1
"KN","Nucleotide metabolism","X2",1.14633155263619,"1d","b",1
"KN","Amino acid metabolism","X2",5.40024678747572,"1d","b",1
"KN","Metabolism of other amino acids","X2",1.23654691385179,"1d","b",1
"KN","Glycan biosynthesis and metabolism","X2",0.840643138599872,"1d","b",1
"KN","Metabolism of cofactors and vitamins","X2",2.59909710080635,"1d","b",1
"KN","Transcription","X2",2.80487759415762,"1d","b",1
"KN","Translation","X2",15.4387560718293,"1d","b",1
"KN","Folding, sorting and degradation","X2",13.1464657573058,"1d","b",1
"KN","Replication and repair","X2",1.9243458454335,"1d","b",1
"KN","Chromosome","X2",0.830950579130428,"1d","b",1
"KN","Membrane transport","X2",1.11799945572551,"1d","b",1
"KN","Signal transduction","X2",10.6640521608816,"1d","b",1
"KN","Signaling molecules and interaction","X2",0.173720488952346,"1d","b",1
"KN","Transport and catabolism","X2",11.9147651231887,"1d","b",1
"KN","Cell motility","X2",7.88228759315109,"1d","b",1
"KN","Cell growth and death","X2",11.8681662795856,"1d","b",1
"KN","Carbohydrate metabolism","X3",11.5165928899398,"1d","c",1
"KN","Energy metabolism","X3",10.7492232822853,"1d","c",1
"KN","Lipid metabolism","X3",3.03373566852712,"1d","c",1
"KN","Nucleotide metabolism","X3",1.04423854169531,"1d","c",1
"KN","Amino acid metabolism","X3",5.61903714497814,"1d","c",1
"KN","Metabolism of other amino acids","X3",1.38764400208958,"1d","c",1
"KN","Glycan biosynthesis and metabolism","X3",0.762145665502736,"1d","c",1
"KN","Metabolism of cofactors and vitamins","X3",2.62819279095983,"1d","c",1
"KN","Transcription","X3",3.06040526793324,"1d","c",1
"KN","Translation","X3",14.0037392428033,"1d","c",1
"KN","Folding, sorting and degradation","X3",13.8492205328421,"1d","c",1
"KN","Replication and repair","X3",2.03101371972176,"1d","c",1
"KN","Chromosome","X3",0.766544774683127,"1d","c",1
"KN","Membrane transport","X3",1.23559979104231,"1d","c",1
"KN","Signal transduction","X3",11.485799125677,"1d","c",1
"KN","Signaling molecules and interaction","X3",0.159467707789173,"1d","c",1
"KN","Transport and catabolism","X3",11.6477413323802,"1d","c",1
"KN","Cell motility","X3",7.41414863490143,"1d","c",1
"KN","Cell growth and death","X3",11.5424376563746,"1d","c",1
"KN","Carbohydrate metabolism","X4",11.3816104091398,"2d","a",2
"KN","Energy metabolism","X4",11.0642720706327,"2d","a",2
"KN","Lipid metabolism","X4",2.90193194917058,"2d","a",2
"KN","Nucleotide metabolism","X4",1.67708336212783,"2d","a",2
"KN","Amino acid metabolism","X4",8.09986759140754,"2d","a",2
"KN","Metabolism of other amino acids","X4",1.67017268402445,"2d","a",2
"KN","Glycan biosynthesis and metabolism","X4",0.887331068473763,"2d","a",2
"KN","Metabolism of cofactors and vitamins","X4",4.93588272855686,"2d","a",2
"KN","Transcription","X4",2.43836366199597,"2d","a",2
"KN","Translation","X4",14.9876022434825,"2d","a",2
"KN","Folding, sorting and degradation","X4",10.4575145331561,"2d","a",2
"KN","Replication and repair","X4",1.54633333241191,"2d","a",2
"KN","Chromosome","X4",0.780630198557603,"2d","a",2
"KN","Membrane transport","X4",1.02278035929998,"2d","a",2
"KN","Signal transduction","X4",10.6529485099196,"2d","a",2
"KN","Signaling molecules and interaction","X4",0.130750029715916,"2d","a",2
"KN","Transport and catabolism","X4",13.9919117423478,"2d","a",2
"KN","Cell motility","X4",10.6739569713539,"2d","a",2
"KN","Cell growth and death","X4",14.3805682788818,"2d","a",2
"KN","Carbohydrate metabolism","X5",11.4408234002975,"2d","b",2
"KN","Energy metabolism","X5",10.4747094242723,"2d","b",2
"KN","Lipid metabolism","X5",3.0229197828786,"2d","b",2
"KN","Nucleotide metabolism","X5",1.52162951223956,"2d","b",2
"KN","Amino acid metabolism","X5",6.89457916837926,"2d","b",2
"KN","Metabolism of other amino acids","X5",1.55086717204032,"2d","b",2
"KN","Glycan biosynthesis and metabolism","X5",0.840264918621847,"2d","b",2
"KN","Metabolism of cofactors and vitamins","X5",3.95937236490294,"2d","b",2
"KN","Transcription","X5",2.68393242286978,"2d","b",2
"KN","Translation","X5",14.7722216807841,"2d","b",2
"KN","Folding, sorting and degradation","X5",10.8992910926834,"2d","b",2
"KN","Replication and repair","X5",1.89748174764933,"2d","b",2
"KN","Chromosome","X5",0.855519349822243,"2d","b",2
"KN","Membrane transport","X5",1.20679500163138,"2d","b",2
"KN","Signal transduction","X5",11.1603113598902,"2d","b",2
"KN","Signaling molecules and interaction","X5",0.130933867803404,"2d","b",2
"KN","Transport and catabolism","X5",12.8624516413344,"2d","b",2
"KN","Cell motility","X5",9.41198405064471,"2d","b",2
"KN","Cell growth and death","X5",13.3645766683475,"2d","b",2
"KN","Carbohydrate metabolism","X6",11.4508693379646,"2d","c",2
"KN","Energy metabolism","X6",9.9818306014707,"2d","c",2
"KN","Lipid metabolism","X6",3.0785653642038,"2d","c",2
"KN","Nucleotide metabolism","X6",1.28374958863044,"2d","c",2
"KN","Amino acid metabolism","X6",6.41238727091209,"2d","c",2
"KN","Metabolism of other amino acids","X6",1.59127426389046,"2d","c",2
"KN","Glycan biosynthesis and metabolism","X6",0.763833770744779,"2d","c",2
"KN","Metabolism of cofactors and vitamins","X6",3.50943177072819,"2d","c",2
"KN","Transcription","X6",3.10981562347033,"2d","c",2
"KN","Translation","X6",13.4312508123685,"2d","c",2
"KN","Folding, sorting and degradation","X6",12.490424422769,"2d","c",2
"KN","Replication and repair","X6",2.08104602637743,"2d","c",2
"KN","Chromosome","X6",0.683910541293208,"2d","c",2
"KN","Membrane transport","X6",1.16400301993656,"2d","c",2
"KN","Signal transduction","X6",11.4511458889316,"2d","c",2
"KN","Signaling molecules and interaction","X6",0.118087262892115,"2d","c",2
"KN","Transport and catabolism","X6",13.8269952460889,"2d","c",2
"KN","Cell motility","X6",10.08470756118,"2d","c",2
"KN","Cell growth and death","X6",14.217485211437,"2d","c",2
"KN","Carbohydrate metabolism","X7",6.35310571557013,"7d","a",7
"KN","Energy metabolism","X7",9.17002311293552,"7d","a",7
"KN","Lipid metabolism","X7",1.43059535107595,"7d","a",7
"KN","Nucleotide metabolism","X7",0.86071845356752,"7d","a",7
"KN","Amino acid metabolism","X7",3.29552317423702,"7d","a",7
"KN","Metabolism of other amino acids","X7",0.578277473288439,"7d","a",7
"KN","Glycan biosynthesis and metabolism","X7",0.62096147995441,"7d","a",7
"KN","Metabolism of cofactors and vitamins","X7",1.87287431376378,"7d","a",7
"KN","Transcription","X7",2.10082507276715,"7d","a",7
"KN","Translation","X7",23.8712577705326,"7d","a",7
"KN","Folding, sorting and degradation","X7",8.63147809266062,"7d","a",7
"KN","Replication and repair","X7",1.15655494657688,"7d","a",7
"KN","Chromosome","X7",0.934734337467022,"7d","a",7
"KN","Membrane transport","X7",1.33841606008455,"7d","a",7
"KN","Signal transduction","X7",9.90223546132784,"7d","a",7
"KN","Signaling molecules and interaction","X7",0.137133723543862,"7d","a",7
"KN","Transport and catabolism","X7",14.5227791829191,"7d","a",7
"KN","Cell motility","X7",10.7309409098959,"7d","a",7
"KN","Cell growth and death","X7",13.8216716691717,"7d","a",7
"KN","Carbohydrate metabolism","X8",6.04662862657827,"7d","b",7
"KN","Energy metabolism","X8",8.50896714229611,"7d","b",7
"KN","Lipid metabolism","X8",1.41713446734892,"7d","b",7
"KN","Nucleotide metabolism","X8",0.777486017315684,"7d","b",7
"KN","Amino acid metabolism","X8",3.02241593063459,"7d","b",7
"KN","Metabolism of other amino acids","X8",0.523628747218222,"7d","b",7
"KN","Glycan biosynthesis and metabolism","X8",0.549553503820693,"7d","b",7
"KN","Metabolism of cofactors and vitamins","X8",1.71231733955527,"7d","b",7
"KN","Transcription","X8",2.21387154154763,"7d","b",7
"KN","Translation","X8",25.4999499472521,"7d","b",7
"KN","Folding, sorting and degradation","X8",8.79542286871549,"7d","b",7
"KN","Replication and repair","X8",1.27801349627428,"7d","b",7
"KN","Chromosome","X8",1.02415622617682,"7d","b",7
"KN","Membrane transport","X8",1.33679338995711,"7d","b",7
"KN","Signal transduction","X8",9.83497994039873,"7d","b",7
"KN","Signaling molecules and interaction","X8",0.1350140789396,"7d","b",7
"KN","Transport and catabolism","X8",13.7855534935535,"7d","b",7
"KN","Cell motility","X8",10.0824201915352,"7d","b",7
"KN","Cell growth and death","X8",13.2680850845378,"7d","b",7
"KN","Carbohydrate metabolism","X9",7.96443133349618,"4d","a",4
"KN","Energy metabolism","X9",9.74662257379606,"4d","a",4
"KN","Lipid metabolism","X9",1.83104413671295,"4d","a",4
"KN","Nucleotide metabolism","X9",1.07570319986472,"4d","a",4
"KN","Amino acid metabolism","X9",4.2830837451382,"4d","a",4
"KN","Metabolism of other amino acids","X9",0.812179402867289,"4d","a",4
"KN","Glycan biosynthesis and metabolism","X9",0.70930647676669,"4d","a",4
"KN","Metabolism of cofactors and vitamins","X9",2.22938313823491,"4d","a",4
"KN","Transcription","X9",2.92882508784127,"4d","a",4
"KN","Translation","X9",21.151425189305,"4d","a",4
"KN","Folding, sorting and degradation","X9",7.84135961368633,"4d","a",4
"KN","Replication and repair","X9",1.90432348133256,"4d","a",4
